1,Milk - 1%,738,2,2 pack,9.7,960,11,98,0
2,"Syrup - Monin, Swiss Choclate",468,7,100 packs,8.75,194,44,28,0
3,Oil - Canola,324,5,1kg pack,30.29,771,27,78,0
4,Wine - Chablis 2003 Champs,433,2,2 pack,15.41,354,86,82,0
5,"Pepper - Paprika, Spanish",1605,8,1 box,47.95,765,5,76,0
6,Smoked Tongue,1822,6,12 pieces,49.67,584,98,18,0
7,Potatoes - Fingerling 4 Oz,636,7,1 box,7.12,940,16,7,0
8,"Liqueur Banana, Ramazzotti",306,5,100 grams,41.7,568,36,72,0
9,Broom And Brush Rack Black,1015,5,1 box,25.36,798,77,98,0
10,Squid - U - 10 Thailand,1936,7,1 box,19.31,884,60,74,0
11,Soup - French Onion,806,4,16 kg pkg,45.48,639,84,14,0
12,Steamers White,254,7,300 grams,17.53,898,67,45,0
13,Energy Drink - Redbull 355ml,1423,6,300 grams,31.99,630,6,85,0
14,Raspberries - Fresh,1522,5,30 packs,13.25,275,24,13,0
15,Pasta - Canelloni,1223,7,300 grams,48.41,215,83,5,0
16,Ecolab Silver Fusion,1700,8,300 grams,19.38,845,35,100,0
17,"Sauce - Apple, Unsweetened",1649,4,1kg pack,30.96,306,86,26,0
18,Lettuce - California Mix,1829,7,500 grams,43.03,106,86,99,0
19,Piping Jelly - All Colours,1266,6,2 pack,19.83,711,20,70,0
20,Snapple - Iced Tea Peach,951,8,100 packs,9.77,447,16,100,0
21,Oil - Macadamia,1287,6,1kg pack,8.55,780,90,20,0
22,Chocolate - Unsweetened,1894,5,1 box,15.89,977,25,39,0
23,"Chicken - Leg, Fresh",383,5,300 grams,10.19,958,33,3,0
24,Marzipan 50/50,944,1,16 kg pkg,31.84,525,67,100,0
25,Ginsing - Fresh,947,5,12 pieces,12.45,734,18,93,0
26,Milk - 2% 250 Ml,255,1,12 box,22.44,466,81,16,0
27,"Rum - Spiced, Captain Morgan",354,1,12 pieces,35.94,467,78,68,0
28,"Beef - Tongue, Fresh",320,3,500 grams,42.68,568,32,74,0
29,Ocean Spray - Kiwi Strawberry,1901,6,20x 100 grams,19.6,864,100,32,0
30,Cookies - Assorted,708,1,20x 100 grams,20.15,213,39,44,0
31,Basil - Pesto Sauce,94,6,2kg packs,10.81,225,19,21,0
32,Cake - Mini Cheesecake,1221,6,30 packs,30.19,894,22,98,0
33,Bread Fig And Almond,1329,1,100 packs,25.38,600,23,71,0
34,Potatoes - Fingerling 4 Oz,317,1,100 grams,33.21,347,74,77,0
35,Cucumber - Pickling Ontario,1847,8,20x 100 grams,7.68,730,14,76,0
36,"Seedlings - Mix, Organic",690,8,1kg pack,6.15,795,2,55,0
37,Glass Clear 7 Oz Xl,1529,7,12 pieces,38.8,943,46,23,0
38,Mustard - Individual Pkg,1235,7,1kg pack,46.04,944,22,84,0
39,Nantucket - Kiwi Berry Cktl.,409,4,packs,7.27,105,88,60,0
40,Oil - Avocado,168,2,100 grams,45.22,195,33,60,0
41,Fish - Bones,1110,4,500 grams,27.9,16,4,77,0
42,Wine - Fat Bastard Merlot,591,6,300 grams,33.0,195,50,70,0
43,"Juice - V8, Tomato",1370,3,500 grams,39.73,619,81,26,0
44,Muffin Batt - Carrot Spice,610,1,2 pack,26.98,218,32,42,0
45,Rice - Basmati,310,5,30 packs,26.27,494,48,38,0
46,Honey - Comb,1926,7,16 kg pkg,46.21,280,12,76,0
47,"Ice - Clear, 300 Lb For Carving",670,4,300 grams,18.45,66,76,4,0
48,"Tortillas - Flour, 10",794,8,500 grams,21.08,48,60,36,0
49,Broom - Push,1323,8,2 pack,48.84,999,51,72,0
50,Cream - 18%,1039,3,2 pack,16.63,416,42,30,0
51,Jameson Irish Whiskey,617,3,30 packs,16.66,85,5,32,0
52,"Chilli Paste, Sambal Oelek",1312,4,2 pack,20.8,727,95,49,0
53,Salmon - Sockeye Raw,750,2,1 box,31.63,234,3,13,0
54,Flour - So Mix Cake White,1496,3,500 grams,13.25,335,50,70,0
55,"Beef - Baby, Liver",1658,7,100 packs,23.65,292,51,78,0
56,Ham - Cooked,864,2,12 pieces,21.48,386,41,17,0
57,"Doilies - 8, Paper",1867,2,12 pieces,44.17,285,17,32,0
58,Flavouring - Rum,1817,6,2 pack,40.78,785,14,98,0
59,Cleaner - Lime Away,656,3,100 grams,14.31,482,76,23,0
60,Broom Handle,1839,1,100 packs,38.54,654,72,77,0
61,Pizza Pizza Dough,922,2,12 box,36.79,764,39,32,0
62,Muffin Batt - Carrot Spice,402,3,packs,43.0,340,2,44,0
63,"Bar Mix - Pina Colada, 355 Ml",1023,3,2 pack,27.32,915,65,64,0
64,Pasta - Agnolotti - Butternut,109,8,500 grams,33.95,228,52,30,0
65,French Pastry - Mini Chocolate,1816,7,packs,5.04,236,85,90,0
66,Cocoa Powder - Dutched,417,8,2kg packs,25.53,583,73,25,0
67,"Yogurt - Blueberry, 175 Gr",472,5,16 kg pkg,6.36,839,31,62,0
68,Carrots - Mini Red Organic,490,6,1kg pack,26.82,165,7,27,0
69,Lettuce - Baby Salad Greens,288,4,16 kg pkg,12.5,125,95,37,0
70,Lemon Balm - Fresh,1400,3,100 packs,8.43,128,20,22,0
71,Coffee - Flavoured,570,4,300 grams,9.16,725,50,66,0
72,"Soup - Knorr, Chicken Noodle",1119,1,2kg packs,5.98,390,67,96,0
73,Clam - Cherrystone,154,6,1kg pack,24.02,640,33,5,0
74,"Wine - Magnotta, White",1638,5,1 box,27.23,457,29,39,0
75,Lobster - Tail 6 Oz,463,7,2 pack,6.29,683,28,68,0
76,Bar - Granola Trail Mix Fruit Nut,1870,8,12 box,8.62,844,50,94,0
77,Cut Wakame - Hanawakaba,1231,3,2 pack,9.86,542,31,26,0
78,Langers - Mango Nectar,1677,3,12 pieces,43.68,30,17,63,0
79,Cranberries - Dry,1407,6,packs,6.36,873,56,79,0
80,Swordfish Loin Portions,1953,3,500 grams,7.04,783,39,45,0
81,Wine - Clavet Saint Emilion,886,1,1 box,46.04,488,75,18,0
82,Bread - Frozen Basket Variety,1052,1,12 box,9.71,30,98,86,0
